toplevel,item,article,block
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e140
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e134
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e146
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-Qd1e142
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e150
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e153
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e156
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e159
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e162
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e165
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e169
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e175
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e178
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e181
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e184
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-d1e187
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-Qd1e136
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e126,ta-l2d17q1-Qd1e171
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-d1e100
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e102
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e105
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e108
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e111
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e114
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e118
aquinasscriptum,ta-l2d17q1,ta-l2d17q1-Dd1e95,ta-l2d17q1-Qd1e121
