ST,Match
TAca84-d1e51-Dd1e1238,ta-l1prolq1-Dd1e1098
TAca84-d1e51-Dd1e1400,ta-l1prolq1-Dd1e1140
TAca84-d1e51-Dd1e1669,ta-l1prolq1-Dd1e1140
TAca84-d1e51-Dd1e1669,ta-l1d34q3-Dd1e101
TAca84-d1e51-Dd1e1913,ta-l1prolq1-Dd1e1140
TAca84-d1e51-Dd1e1913,ta-l4d31q1-Dd1e184
TAca84-d1e56-Dd1e189,ta-l1d3q1-Dd1e202
TAca84-d1e56-Dd1e450,ta-l3d24q1-Dd1e281
TAca84-d1e61-Dd1e519,ta-l1d35q1-Dd1e139
TAca84-d1e61-Dd1e722,ta-l1d34q1-Dd1e135
TAca84-d1e61-Dd1e917,ta-l1d8q4-Dd1e125
TAca84-d1e61-Dd1e917,ta-l1d8q4-Dd1e172
TAca84-d1e61-Dd1e917,ta-l1d8q5-Dd1e138
TAca84-d1e61-Dd1e917,ta-l1d34q1-Dd1e135
TAca84-d1e61-Dd1e917,ta-l2d1q1-Dd1e120
TAca84-d1e61-Dd1e1139,ta-l1d8q4-Dd1e172
TAca84-d1e61-Dd1e1139,ta-l1d19q4-Dd1e3586
TAca84-d1e61-Dd1e1390,ta-l1d8q4-Dd1e206
TAca84-d1e61-Dd1e1553,ta-l1d8q4-Dd1e125
TAca84-d1e61-Dd1e1760,ta-l1d8q1-Dd1e197
TAca84-d1e66-Dd1e342,ta-l1d2q1-Dd1e224
TAca84-d1e66-Dd1e342,ta-l1d2q1-Dd1e270
TAca84-d1e66-Dd1e602,ta-l1d48q1-Dd1e113
TAca84-d1e66-Dd1e602,ta-l2d16q1-Dd1e129
TAca84-d1e72-Dd1e156,ta-l1d8q1-Dd1e246
TAca84-d1e72-Dd1e156,ta-l1d19q5-Dd1e3502
TAca84-d1e72-Dd1e365,ta-l1d8q1-Dd1e246
TAca84-d1e72-Dd1e629,ta-l1d8q1-Dd1e246
TAca84-d1e72-Dd1e814,ta-l1d34q2-Dd1e92
TAca84-d1e72-Dd1e1330,ta-l2d21q1-Dd1e272
TAca84-d1e77-Dd1e284,ta-l2d1q2-Dd1e173
TAca84-d1e77-Dd1e709,ta-l1d19q5-Dd1e3587
TAca84-d1e82-Dd1e153,ta-l1d43q1-Dd1e116
TAca84-d1e82-Dd1e356,ta-l1d43q1-Dd1e166
TAca84-d1e82-Dd1e794,ta-l2d1q1-Dd1e330
TAca84-d1e87-Dd1e143,ta-l1d37q1-Dd1e135
TAca84-d1e87-Dd1e361,ta-l1d37q2-Dd1e138
TAca84-d1e87-Dd1e607,ta-l1d37q1-Dd1e194
TAca84-d1e87-Dd1e914,ta-l1d37q2-Dd1e138
TAca84-d1e87-Dd1e914,ta-l1d37q3-Dd1e182
TAca84-d1e92-Dd1e137,ta-l1d8q3-Dd1e103
TAca84-d1e92-Dd1e379,ta-l1d8q3-Dd1e165
TAca84-d1e92-Dd1e379,ta-l1d19q5-Dd1e3634
TAca84-d1e92-Dd1e379,ta-l2d7q1-Dd1e132
TAca84-d1e97-Dd1e141,ta-l1d8q2-Dd1e101
TAca84-d1e97-Dd1e404,ta-l1d19q2-Dd1e3502
TAca84-d1e97-Dd1e607,ta-l1d8q2-Dd1e172
TAca84-d1e97-Dd1e607,ta-l4d49q1-Dd1e391
TAca84-d1e97-Dd1e795,ta-l1d8q2-Dd1e172
TAca84-d1e97-Dd1e795,ta-l1d19q2-Dd1e3502
TAca84-d1e97-Dd1e1060,ta-l1d8q2-Dd1e172
TAca84-d1e97-Dd1e1060,ta-l1d19q2-Dd1e3502
TAca84-d1e97-Dd1e1060,ta-l2d2q1-Dd1e139
TAca84-d1e97-Dd1e1391,ta-l2d2q1-Dd1e198
TAca84-d1e97-Dd1e1391,ta-l2d2q1-Dd1e139
TAca84-d1e103-Dd1e137,ta-l1d19q4-Dd1e3545
TAca84-d1e103-Dd1e137,ta-l1d24q1-Dd1e233
TAca84-d1e103-Dd1e399,ta-l1d24q1-Dd1e233
TAca84-d1e103-Dd1e673,ta-l1d2q1-Dd1e162
TAca84-d1e103-Dd1e673,ta-l2d1q1-Dd1e120
